indiv_ID;d13C;d15N;Species_code
LAV-13-P142;-18.01;15.15;ABR
LAV-13-P140;-17.80;14.85;ABR
LAV-13-P212;-22.82;13.15;AME
LAV-13-P200;-22.32;13.64;AME
LAV-13-P166;-21.42;12.95;AME
LAV-13-P159;-27.00;12.94;AME
LAV-13-P116;-20.91;13.51;AME
LAV-13-P190;-23.84;11.88;BLI
LAV-13-P149;-23.27;11.93;BLI
LAV-13-P148;-20.73;12.58;BLI
LAV-13-P146;-26.28;11.54;BLI
LAV-13-P144;-24.50;11.86;BLI
LAV-13-P143;-25.33;12.37;BLI
LAV-13-P124;-24.40;11.82;BLI
LAV-13-P122;-23.75;12.63;BLI
LAV-13-P120;-23.98;12.29;BLI
LAV-13-P117;-23.82;12.61;BLI
LAV-13-P178;-14.96;15.34;CTE
LAV-13-P176;-15.06;16.47;CTE
LAV-13-P194;-19.28;12.45;CYP
LAV-13-P175;-20.70;12.36;CYP
LAV-13-P172;-21.23;11.64;CYP
LAV-13-P160;-22.56;12.13;CYP
LAV-13-P138;-20.17;13.35;CYP
LAV-13-P213;-20.33;14.72;ESO
LAV-13-P210;-24.88;15.56;ESO
LAV-13-P201;-21.49;15.30;ESO
LAV-13-P195;-23.64;16.23;ESO
LAV-13-P189;-25.23;16.14;ESO
LAV-13-P188;-19.79;15.37;ESO
LAV-13-P186;-20.81;15.59;ESO
LAV-13-P185;-20.78;15.40;ESO
LAV-13-P181;-19.64;16.07;ESO
LAV-13-P163;-18.79;15.35;ESO
LAV-13-F71;-27.29;13.39;GAM
LAV-13-F69;-26.10;12.61;GAM
LAV-13-F68;-26.68;12.93;GAM
13-M-796;-23.51;14.39;LEP
13-M-795;-25.94;15.50;LEP
13-M-794;-25.39;14.77;LEP
13-M-793;-22.97;15.31;LEP
13-M-792;-20.70;15.02;LEP
13-M-791;-22.07;15.03;LEP
13-M-790;-20.95;15.33;LEP
13-M-789;-20.54;14.98;LEP
13-M-788;-25.01;14.89;LEP
13-M-787;-27.49;16.45;LEP
13-M-786;-25.57;15.05;LEP
13-M-785;-26.01;15.77;LEP
13-M-784;-27.27;16.15;LEP
13-M-783;-20.10;15.77;LEP
13-M-782;-20.73;15.58;LEP
13-M-781;-20.89;15.26;LEP
13-M-780;-22.74;14.71;LEP
13-M-779;-20.18;15.08;LEP
13-M-778;-21.17;14.52;LEP
13-M-777;-20.59;15.21;LEP
13-M-775;-25.92;14.70;LEP
13-M-774;-25.88;14.30;LEP
13-M-773;-19.62;15.34;LEP
13-M-772;-20.96;14.97;LEP
13-M-771;-22.65;14.23;LEP
13-M-770;-24.98;15.13;LEP
13-M-768;-21.79;15.42;LEP
LAV-13-P221;-20.72;13.58;MIC
LAV-13-P211;-25.34;16.06;MIC
LAV-13-P127;-23.14;15.42;MIC
LAV-13-P217;-23.58;14.96;PER
LAV-13-P198;-25.33;16.07;PER
LAV-13-P192;-20.15;12.83;PER
LAV-13-P187;-20.32;13.85;PER
LAV-13-P182;-19.98;13.96;PER
LAV-13-P161;-19.17;14.10;PER
LAV-13-P152;-26.49;13.28;PER
LAV-13-P135;-25.52;12.64;PER
LAV-13-P134;-25.85;12.98;PER
LAV-13-P128;-20.74;13.57;PER
LAV-13-P162;-21.17;12.96;RUT
LAV-13-P157;-24.28;12.59;RUT
LAV-13-P154;-19.71;12.22;RUT
LAV-13-P141;-19.86;12.81;RUT
LAV-13-P137;-23.98;12.12;RUT
LAV-13-P126;-26.50;13.06;RUT
LAV-13-P118;-22.87;11.89;RUT
LAV-13-P115;-18.99;10.05;RUT
LAV-13-P114;-21.12;11.02;RUT
LAV-13-P177;-19.67;17.20;SAN
LAV-13-P196;-18.41;10.76;SCA
LAV-13-P184;-18.69;13.54;SCA
LAV-13-P183;-18.56;10.92;SCA
LAV-13-P156;-26.40;12.69;SCA
LAV-13-P214;-20.09;13.15;SIL
LAV-13-P202;-21.38;14.62;SIL
LAV-13-P180;-18.79;15.84;SIL
LAV-13-P179;-19.84;16.27;SIL
LAV-13-P164;-20.98;14.83;SIL
LAV-13-P139;-20.70;15.94;SIL
