Species_name;Species_code;rel_Biomass;Order;Status
Abramis_brama;ABR;1.32;Cypriniformes;N
Ameiurus_melas;AME;0.22;Siluriformes;E
Blicca_bjoerkna;BLI;0.59;Cypriniformes;N
Ctenopharyngodon_idella;CTE;6.54;Cypriniformes;E
Cyprinus_carpio;CYP;66.26;Cypriniformes;E
Esox_lucius;ESO;1.18;Esociformes;N
Gambusia_affinis;GAM;0.01;Cyprinodontiformes;E
Lepomis_gibbosus;LEP;0.58;Perciformes;E
Micropterus_salmoides;MIC;0.43;Perciformes;E
Perca_fluviatilis;PER;1.25;Perciformes;N
Rutilus_rutilus;RUT;0.74;Cypriniformes;N
Sander_lucioperca;SAN;0.63;Perciformes;E
Scardinius_erythrophthalmus;SCA;0.19;Cypriniformes;N
Silurus_glanis;SIL;20.06;Siluriformes;E
