iso1,iso2,group,community
-28.71676554,4.0386,1,2
-27.41319023,5.820574471,1,1
-26.80281773,7.069151336,1,3
-26.9542231,4.7176,1,2
-27.37852601,5.34276925,1,1
-26.57704485,7.698838176,1,3
-26.65381028,2.531430812,1,1
-26.42049424,5.758584668,1,3
-27.56266983,1.081874136,1,2
-26.71136034,4.908586261,2,1
-27.52368862,6.467493326,2,3
-27.53042893,4.0001933,2,2
-24.82548854,3.1806,1,2
-25.05881983,2.756225547,1,1
-26.46561968,4.439682278,1,3
-27.36717635,3.6856,2,2
-28.53477561,4.352992544,2,1
-27.17442963,8.643076407,2,3
-26.42566292,3.0416,1,2
-26.63700234,7.324967048,1,3
-27.39894371,4.872006912,1,1
-27.73481556,1.7356,1,2
-26.42371908,1.58568241,1,1
-25.84285084,4.178349284,1,3
-24.63925924,4.3866,1,3
-28.3107117,-0.0154,1,2
-26.92904048,3.358130873,1,1
-27.3585005,2.5766,2,2
-27.04823061,1.6118307,2,1
-26.38955667,5.424630523,2,3
-25.79323404,2.9186,2,3
-27.70426565,1.0686,2,2
-24.65242146,3.771510998,2,1
-28.55509108,1.4576,1,2
-28.47154385,3.219305007,1,1
-27.12082107,6.392441454,1,3
-26.09100458,2.632149655,2,1
-25.94237971,7.365164399,2,3
-27.05253739,1.549994147,2,2
-27.27068835,2.4796,1,2
-27.66609538,3.96915549,1,1
-27.17503561,5.594833254,1,3
-24.12891704,4.445009982,2,1
-24.54343999,6.586696036,2,3
-25.08278466,2.460206881,2,2
-26.26722629,2.7806,2,2
-26.45216716,2.097061314,2,1
-26.80210763,4.455166147,2,3
-27.6489232,4.661353777,2,1
-26.8936357,6.192651879,2,3
-25.12985878,4.887446753,2,2
-28.32923491,4.051961295,2,1
-27.14783335,5.303818087,2,3
-27.1455814,2.266236502,2,2
-26.11694912,3.4226,2,2
-27.19935415,2.194107913,2,1
-25.75698097,5.815502635,2,3
-26.67155657,3.692414374,2,1
-25.99639447,6.563694339,2,3
-26.32879027,3.280508922,2,2
-26.60284209,5.8656,1,1
-26.40538464,2.2146,1,2
-24.71003257,11.51261036,1,3
-27.22084894,1.2186,2,2
-25.73476502,2.44336319,2,1
-25.99976433,6.037614603,2,3
-25.2722469,5.594171952,2,1
-26.0074229,7.780752689,2,3
-25.77548382,4.546510027,2,2
-23.88959634,3.716573672,2,1
-25.50796277,5.677780961,2,3
-25.48219104,3.037042498,2,2
-26.73706382,6.1796,1,2
-28.06662987,7.391772375,1,1
-26.24341122,7.251878144,1,3
-27.4754397,5.10478622,1,1
-26.52096285,7.121682402,1,3
-27.22727164,2.580571704,1,2
-27.02640326,3.294529433,1,1
-26.12839652,7.043210687,1,3
-26.7171636,2.596034382,1,2
-25.65847371,3.412190747,2,1
-26.32065759,5.516649138,2,3
-26.58087489,3.504071476,2,2
-26.40454832,3.0726,2,2
-27.57083825,3.134355067,2,1
-26.72522487,5.495007287,2,3
-27.36997949,5.052916432,2,1
-26.52121946,7.797051885,2,3
-26.73693053,4.237299259,2,2
-27.52322808,1.7986,2,2
-27.78763579,7.037952367,2,1
-27.13603336,6.636653026,2,3
-26.73262601,1.809244373,2,1
-26.28120005,4.85581914,2,3
-25.84234778,3.692863747,2,2
-27.98562151,2.347714403,1,1
-27.29200358,5.613881378,1,3
-27.92150712,2.305903746,1,2
-23.49204843,5.3986,2,2
-27.17251822,3.163832771,2,1
-27.59669572,3.259644946,2,3
-27.26145856,2.713661684,2,1
-26.83800703,6.841191962,2,3
-26.70686119,2.723869656,2,2
-27.53032379,3.916333209,1,1
-26.58120267,6.371621792,1,3
-28.07697942,1.526457513,1,2
-25.82777961,5.3856,1,3
-26.38511573,2.351028975,1,1
-26.40300102,3.136046923,1,2
-26.86270984,4.9936,1,3
-26.53765069,2.0506,1,2
-27.14507275,2.124453029,1,1
-26.39807741,4.3246,2,3
-25.20489437,11.6416,2,2
-26.00940922,5.3046,2,3
-26.39005014,4.0476,2,2
